# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4782 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,436.590,598.748,183.024,484687872,6.16,185.730,67.837,22284,1534.899,-1.000,0,87.05,4782.1,6129.6,5693.3,436.0,285.6,1232.2,216.2,9648.2,0.606,1,0.000,0.008,0.000,0.000,0.000
2,256,279.741,368.136,100.524,328654848,12.80,120.829,58.388,19,1007.622,0.820,0,0.07,4782.1,6129.1,5692.8,436.0,286.9,1242.4,216.0,9635.1,2.337,1,0.000,0.008,19.712,0.000,0.000
3,256,347.443,461.002,79.448,384356352,17.73,198.626,69.369,18,1227.638,0.820,0,0.07,4782.1,6123.7,5693.3,430.0,286.9,1239.9,164.0,9630.5,0.554,1,0.000,0.007,21.411,0.000,0.000
4,256,349.108,266.254,168.735,188129280,23.40,130.051,50.321,2,1095.669,0.820,0,0.01,4782.1,6104.4,5692.1,411.8,286.9,1236.1,136.8,9628.9,0.602,1,0.000,0.008,20.634,0.000,0.000
5,256,304.273,374.168,94.305,250048512,27.65,178.294,31.674,1,1016.926,0.820,0,0.00,4782.1,6098.3,5691.6,406.3,286.9,1245.4,147.6,9618.2,0.551,1,0.000,0.007,0.000,0.000,0.000
6,256,256.875,275.686,91.738,228913152,31.70,109.777,55.360,1,940.322,0.820,0,0.00,4782.1,6090.7,5691.1,399.2,286.9,1246.6,133.2,9614.9,0.567,1,0.000,0.007,27.524,0.000,0.000
7,256,227.455,228.524,101.521,156131328,35.59,86.817,39.117,3,764.807,0.820,0,0.01,4782.1,6092.3,5692.7,399.2,286.9,1253.8,139.8,9602.9,0.559,1,0.000,0.007,12.296,0.000,0.000
8,256,279.505,307.290,86.092,225853440,38.53,139.884,53.529,1,934.137,0.820,0,0.00,4782.1,6089.2,5694.2,394.6,286.9,1253.8,137.2,9592.6,0.520,1,0.000,0.006,26.500,0.000,0.000
9,256,295.473,322.606,89.561,249753600,40.93,159.755,46.157,1,1012.549,0.820,0,0.00,4782.1,6080.6,5690.9,389.2,286.9,1267.0,147.2,9589.7,0.547,1,0.000,0.008,15.456,0.000,0.000
10,256,335.406,403.915,102.382,282046464,42.85,187.647,45.377,1,1105.465,0.820,0,0.00,4782.1,6073.0,5692.9,379.7,286.9,1271.5,148.1,9575.7,0.550,1,0.000,0.006,11.593,0.000,0.000
