# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1536 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=0 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,355.417,661.340,150.907,588681216,4.99,141.189,63.321,29249,872.294,-1.000,0,114.25,4000.0,5442.7,4990.0,452.4,207.0,1778.4,174.0,9678.3,0.272,1,0.000,0.006,0.000,0.000,0.000
2,64,233.797,455.909,95.826,384651264,11.00,97.652,40.319,2,552.331,0.820,0,0.01,4000.0,5387.8,4944.0,443.6,254.0,1833.7,248.2,9617.6,1.102,1,0.000,0.005,0.000,0.000,0.000
3,64,370.562,580.205,206.715,440352768,15.36,116.660,47.186,1,916.956,0.820,0,0.00,4000.0,5387.5,4943.8,443.4,254.2,1830.2,183.9,9605.7,0.513,1,0.000,0.008,0.000,0.000,0.000
4,64,521.447,315.771,435.000,244027392,20.61,58.655,27.792,2,1386.899,0.820,0,0.01,4000.0,5386.2,4942.7,443.2,254.2,1824.1,141.4,9607.6,0.512,1,0.000,0.007,0.000,0.000,0.000
5,64,202.761,339.930,96.511,266047488,24.86,76.614,29.635,1,476.374,0.820,0,0.00,4000.0,5385.5,4942.0,443.2,254.2,1835.5,173.2,9595.1,0.516,1,0.000,0.005,0.000,0.000,0.000
6,64,190.181,318.830,97.634,250245120,28.60,66.615,25.932,1,438.113,0.820,0,0.00,4000.0,5384.9,4941.6,443.1,254.2,1845.1,196.2,9581.6,0.438,1,0.000,0.004,0.000,0.000,0.000
7,64,162.772,235.475,91.518,172130304,32.35,52.554,18.699,1,352.849,0.820,0,0.00,4000.0,5386.3,4943.1,442.9,254.2,1854.5,225.4,9570.7,0.532,1,0.000,0.004,0.000,0.000,0.000
8,64,188.622,317.041,93.364,247185408,35.15,69.221,26.036,1,422.970,0.820,0,0.00,4000.0,5385.6,4942.4,442.9,254.2,1861.7,254.5,9557.5,0.459,1,0.000,0.004,0.000,0.000,0.000
9,64,209.760,385.743,104.565,311083008,37.23,72.995,32.200,1,507.483,0.820,0,0.00,4000.0,5384.7,4941.6,442.8,254.2,1833.6,230.8,9546.7,0.464,1,0.000,0.004,0.000,0.000,0.000
10,64,206.455,370.397,97.131,298045440,39.15,76.459,32.865,1,489.776,0.820,0,0.00,4000.0,5382.5,4941.5,440.8,254.2,1852.0,261.6,9538.7,0.435,1,0.000,0.004,0.000,0.000,0.000
11,64,174.250,255.946,96.327,190992384,41.43,58.115,19.808,1,403.761,0.820,0,0.00,4000.0,5383.2,4942.2,440.7,254.2,1847.4,254.9,9533.5,0.503,1,0.000,0.005,0.000,0.000,0.000
12,64,249.102,464.460,111.822,364999232,42.61,98.791,38.489,1,595.808,0.820,0,0.00,4000.0,5383.0,4942.6,440.2,254.1,1857.9,267.2,9532.4,0.464,1,0.000,0.005,0.000,0.000,0.000
13,64,189.399,304.761,102.600,230301696,44.31,61.504,25.295,1,448.404,0.820,0,0.00,4000.0,5383.7,4943.5,439.9,254.1,1859.0,246.7,9530.4,0.493,1,0.000,0.005,0.000,0.000,0.000
14,64,253.969,495.465,108.217,414683136,45.02,100.910,44.842,3,629.812,0.820,0,0.01,4000.0,5381.5,4941.9,439.3,254.1,1854.5,238.1,9522.4,0.445,1,0.000,0.005,0.000,0.000,0.000
