# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4755 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,569.830,690.606,273.543,484687872,6.16,214.818,81.470,16890,1743.034,-1.000,0,65.98,4755.9,5854.3,5601.2,252.8,352.3,1223.8,117.7,9581.7,0.402,1,0.000,0.014,0.000,0.000,0.000
2,64,284.016,408.332,98.767,328654848,12.80,131.766,53.482,9,986.123,0.820,0,0.04,4755.9,5849.1,5599.4,249.3,352.3,1238.8,138.4,9567.5,4.876,1,0.000,0.011,8.366,0.000,0.000
3,64,302.168,485.309,82.260,384356352,17.73,153.783,66.125,48,1071.437,0.820,0,0.19,4755.9,5845.8,5600.0,245.4,352.2,1249.8,150.4,9555.1,4.530,1,0.000,0.011,19.331,0.000,0.000
4,64,214.747,244.685,109.113,185364480,23.40,74.532,31.101,1,762.217,0.820,0,0.00,4755.9,5843.8,5601.6,241.8,352.2,1251.3,146.1,9553.0,1.911,1,0.000,0.011,4.652,0.000,0.000
5,64,243.827,308.972,99.295,250048512,27.71,100.558,43.974,1,871.963,0.820,0,0.00,4755.9,5843.1,5600.9,241.8,352.2,1259.9,159.5,9541.0,4.605,1,0.000,0.010,1.278,0.000,0.000
6,64,241.737,294.551,107.218,231579648,31.74,87.966,46.553,2,856.054,0.820,0,0.01,4755.9,5838.6,5600.7,237.5,352.0,1266.7,167.8,9531.6,4.713,1,0.000,4.114,17.012,0.000,0.000
7,64,203.902,216.013,117.803,156131328,35.63,53.541,32.557,35,719.341,0.820,0,0.14,4755.9,5836.2,5602.2,233.5,351.9,1270.2,164.1,9524.1,0.573,1,0.000,0.010,5.318,0.000,0.000
8,64,240.783,306.531,108.193,225853440,38.56,94.313,38.278,1,836.363,0.820,0,0.00,4755.9,5831.1,5601.2,229.5,351.9,1272.1,141.4,9522.3,0.539,1,0.000,0.011,11.353,0.000,0.000
9,64,247.479,324.624,104.271,247087104,40.93,110.813,32.395,0,842.793,0.820,0,0.00,4755.9,5826.2,5600.4,225.4,352.2,1275.3,128.0,9515.7,3.940,1,0.000,0.011,1.896,0.000,0.000
10,64,266.964,362.205,98.555,279379968,42.83,127.594,40.814,0,905.792,0.820,0,0.00,4755.9,5825.4,5599.6,225.4,352.2,1281.1,125.3,9505.7,0.578,1,0.000,0.012,6.582,0.000,0.000
