# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,432.440,676.419,121.638,588681216,4.98,249.836,60.965,19762,1537.722,-1.000,0,77.20,4000.0,5629.7,4989.4,640.1,207.3,2054.5,233.7,9974.9,0.372,1,0.000,0.003,0.000,0.000,0.000
2,256,273.450,449.798,67.636,387317760,11.13,164.155,41.660,16,1001.895,0.820,0,0.06,4000.0,5554.6,4914.2,640.1,283.4,2125.2,294.7,9889.2,1.581,1,0.000,0.005,3.718,0.000,0.000
3,256,241.338,500.004,91.144,448352256,15.55,68.602,81.593,11,928.242,0.820,0,0.04,4000.0,5554.8,4914.5,640.1,283.4,2122.9,277.2,9890.4,0.400,1,0.000,0.008,1.264,0.000,0.000
4,256,173.048,279.442,89.074,236027904,20.93,41.928,42.046,1,648.171,0.820,0,0.00,4000.0,5553.8,4913.5,640.1,283.4,2123.2,274.1,9890.7,0.546,1,0.000,0.007,0.991,0.000,0.000
5,256,184.175,312.022,89.291,266047488,25.26,48.579,46.305,2,689.662,0.820,0,0.01,4000.0,5553.3,4913.0,640.1,283.4,2122.8,272.0,9890.9,0.430,1,0.000,0.007,0.804,0.000,0.000
6,256,175.043,305.881,87.413,255578112,29.24,43.058,44.572,4,665.865,0.820,0,0.02,4000.0,5555.4,4915.0,640.1,283.4,2119.7,263.6,9890.9,0.531,1,0.000,0.007,4.016,0.000,0.000
7,256,151.270,225.973,84.288,180129792,33.08,37.296,29.687,1,541.969,0.820,0,0.00,4000.0,5554.3,4914.0,640.1,283.4,2114.0,234.2,9898.4,0.431,1,0.000,0.006,2.135,0.000,0.000
8,256,175.107,296.102,87.884,252518400,35.96,44.829,42.393,1,650.662,0.820,0,0.00,4000.0,5556.0,4915.7,640.1,283.4,2104.8,220.8,9909.6,0.404,1,0.000,0.008,2.289,0.000,0.000
9,256,196.278,361.142,88.445,313749504,38.15,52.655,55.177,1,755.002,0.820,0,0.00,4000.0,5552.7,4912.3,640.1,283.4,2108.7,216.3,9910.7,0.451,1,0.000,0.007,3.674,0.000,0.000
10,256,273.807,366.375,72.048,306044928,40.07,163.642,38.116,1,931.929,0.820,0,0.00,4000.0,5551.8,4914.5,637.1,283.4,2134.5,284.9,9901.6,0.564,1,0.000,0.005,0.449,0.000,0.000
11,256,166.640,249.826,81.018,204324864,42.36,58.437,27.185,1,604.304,0.820,0,0.00,4000.0,5553.0,4915.7,637.1,283.4,2121.7,264.6,9899.9,0.406,1,0.000,0.006,2.245,0.000,0.000
12,256,229.880,416.252,93.888,359567936,43.60,78.685,57.307,2,832.969,0.820,0,0.01,4000.0,5549.3,4912.7,636.3,283.3,2128.7,271.3,9908.1,0.618,1,0.000,0.007,1.072,0.000,0.000
13,256,192.319,283.091,76.217,227635200,45.42,84.496,31.606,1,668.193,0.820,0,0.00,4000.0,5552.6,4916.8,635.6,283.3,2118.0,274.8,9904.3,0.423,1,0.000,0.005,3.897,0.000,0.000
14,256,258.634,542.688,94.639,500502528,45.70,71.135,92.860,1,1003.405,0.820,0,0.00,4000.0,5549.4,4913.5,635.6,283.3,2120.9,263.8,9904.8,0.545,1,0.000,0.007,0.000,0.000,0.000
15,256,304.261,492.179,83.539,397393920,46.45,158.342,62.380,1,1070.133,0.820,0,0.00,4000.0,5547.2,4914.5,632.4,283.3,2128.3,268.1,9905.5,0.523,1,0.000,0.006,5.214,0.000,0.000
16,256,205.170,279.351,74.740,228028416,47.88,102.142,28.288,1,689.262,0.820,0,0.00,4000.0,5545.4,4912.8,632.3,283.3,2135.0,284.1,9900.6,0.409,1,0.000,0.005,1.623,0.000,0.000
17,256,313.591,537.907,77.115,473735744,48.15,172.092,64.384,2,1124.463,0.820,0,0.01,4000.0,5545.5,4913.0,632.3,283.3,2132.2,278.5,9892.8,0.368,1,0.000,0.005,1.346,0.000,0.000
18,256,224.884,391.529,87.246,327671808,48.96,82.535,55.102,0,813.686,0.820,0,0.00,4000.0,5546.4,4913.9,632.3,283.3,2139.9,279.8,9892.1,0.584,1,0.000,0.006,0.760,0.000,0.000
19,256,179.979,275.422,76.893,236322816,50.13,66.020,37.067,2,652.733,0.820,0,0.01,4000.0,5546.8,4914.2,632.3,283.3,2143.2,284.0,9889.5,0.468,1,0.000,0.005,5.366,0.000,0.000
20,256,187.648,354.602,81.123,302395392,50.92,61.135,45.390,1,681.118,0.820,0,0.00,4000.0,5546.4,4913.8,632.3,283.3,2133.0,262.7,9890.3,0.419,1,0.000,0.005,0.774,0.000,0.000
21,256,226.694,422.538,86.610,380313600,51.43,79.059,61.026,1,845.850,0.820,0,0.00,4000.0,5548.7,4916.1,632.3,283.4,2132.2,259.2,9889.8,0.419,1,0.000,0.006,1.470,0.000,0.000
22,256,197.407,343.813,89.224,292909056,52.17,60.500,47.683,0,732.743,0.820,0,0.00,4000.0,5546.7,4914.1,632.3,283.7,2134.4,254.1,9888.8,0.655,1,0.000,0.006,0.170,0.000,0.000
23,256,189.677,229.689,75.861,182206464,53.27,77.858,35.958,1,653.025,0.820,0,0.00,4000.0,5542.9,4913.4,629.2,283.7,2149.4,280.1,9887.0,0.414,1,0.000,0.004,15.187,0.000,0.000
24,256,232.225,390.118,81.353,340414464,53.76,101.576,49.297,1,845.445,0.820,0,0.00,4000.0,5527.7,4898.5,628.9,302.2,2151.0,265.2,9868.4,0.372,1,0.000,0.006,2.106,0.000,0.000
25,256,207.077,374.310,88.425,330141696,54.21,66.115,52.538,0,756.154,0.820,0,0.00,4000.0,5523.1,4893.9,628.9,302.2,2145.2,234.4,9873.3,0.669,1,0.000,0.006,0.000,0.000,0.000
26,256,209.244,260.265,79.705,214401024,55.07,99.885,29.654,0,714.310,0.820,0,0.00,4000.0,5522.9,4895.4,627.3,302.2,2152.2,249.4,9877.8,0.468,1,0.000,0.005,3.927,0.000,0.000
27,256,221.040,270.788,79.723,225460224,55.80,105.681,35.636,2,767.909,0.820,0,0.01,4000.0,5513.2,4894.2,618.7,302.2,2146.3,277.1,9872.8,0.538,1,0.000,0.005,7.326,0.000,0.000
28,256,152.546,239.279,84.161,200871936,56.57,39.639,28.747,1,560.974,0.820,0,0.00,4000.0,5517.2,4898.2,618.7,302.2,2141.9,257.9,9874.8,0.495,1,0.000,0.005,0.704,0.000,0.000
29,256,189.226,339.974,87.828,292319232,57.08,52.335,49.063,0,708.252,0.820,0,0.00,4000.0,5515.6,4896.7,618.7,302.2,2132.5,221.1,9880.5,0.621,1,0.000,0.007,2.201,0.000,0.000
30,256,174.869,158.626,97.872,129269760,57.99,52.642,24.355,2,588.149,0.820,0,0.01,4000.0,5511.5,4893.7,617.6,302.2,2129.8,227.9,9891.3,0.418,1,0.000,0.005,8.000,0.000,0.000
31,256,254.393,220.645,72.965,169070592,58.77,133.362,48.067,1,835.953,0.820,0,0.00,4000.0,5514.6,4899.3,615.1,302.2,2140.0,297.0,9880.3,0.378,1,0.000,0.005,31.954,0.000,0.000
