# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,1078.776,1108.967,391.290,588681216,4.98,619.113,68.373,25072,1742.682,-1.000,0,97.94,4000.0,5462.8,4947.0,515.5,249.7,2007.0,254.7,10094.7,0.291,1,0.000,0.011,0.000,0.000,0.000
2,256,563.727,1168.462,74.873,387317760,11.13,292.965,195.889,18,1044.089,0.820,0,0.07,4000.0,5461.9,4947.9,513.6,249.7,2013.9,265.7,10084.2,1.339,1,0.000,0.006,10.507,0.000,0.000
3,256,598.688,746.882,205.365,448352256,15.55,322.665,70.658,23,1024.367,0.820,0,0.09,4000.0,5461.8,4948.5,512.8,249.6,2007.9,272.6,10076.3,0.455,1,0.000,0.009,1.964,0.000,0.000
4,256,398.680,608.660,204.238,236027904,20.93,153.158,41.284,1,665.692,0.820,0,0.00,4000.0,5460.0,4947.1,512.5,249.6,2009.7,270.5,10076.7,0.522,1,0.000,0.008,1.343,0.000,0.000
5,256,331.621,322.362,231.416,266047488,25.30,54.512,45.693,1,714.690,0.820,0,0.00,4000.0,5459.4,4946.5,512.5,249.6,2011.7,267.5,10070.5,1.291,1,0.000,0.008,1.623,0.000,0.000
6,256,310.004,326.688,209.072,258244608,29.27,49.643,51.289,1,688.920,0.820,0,0.00,4000.0,5458.7,4946.3,512.0,249.6,2024.5,275.1,10059.0,0.536,1,0.000,0.007,16.108,0.000,0.000
7,256,274.942,460.322,86.030,180129792,33.15,43.000,145.913,9,591.139,0.820,0,0.04,4000.0,5459.8,4947.8,511.6,249.6,2020.8,275.4,10057.3,0.439,1,0.000,0.007,119.291,0.000,0.000
8,256,357.835,307.407,92.943,252518400,36.03,219.591,45.301,1,732.256,0.820,0,0.00,4000.0,5461.4,4949.4,511.6,249.6,2018.1,272.7,10059.7,0.482,1,0.000,0.007,2.852,0.000,0.000
9,256,489.328,918.417,95.518,313749504,38.19,332.069,61.741,1,797.921,0.820,0,0.00,4000.0,5458.2,4946.2,511.6,249.6,2021.9,277.8,10060.5,0.500,1,0.000,0.009,4.585,0.000,0.000
10,256,341.218,648.461,84.561,311377920,40.11,209.023,47.634,1,733.452,0.820,0,0.00,4000.0,5460.2,4948.2,511.6,249.6,2015.0,271.5,10060.5,0.551,1,0.000,0.007,2.041,0.000,0.000
