# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,458.776,917.582,155.640,588681216,4.98,301.703,1.433,30724,1140.000,-1.000,0,120.02,4000.0,6018.5,976.5,5041.6,226.4,1574.9,392.1,9911.3,0.251,1,0.000,0.005,0.000,0.000,0.000
2,256,322.167,607.414,161.466,400650240,11.86,140.228,20.473,8,754.807,0.820,0,0.03,4000.0,6018.7,976.7,5041.6,226.4,1545.1,169.6,9933.7,1.289,1,0.000,0.008,18.245,0.000,0.000
3,256,779.262,728.298,138.712,453685248,17.34,170.456,470.093,1,885.986,0.820,0,0.00,4000.0,6007.6,971.6,5035.6,231.6,1526.8,157.7,9912.1,0.443,1,0.000,0.006,468.765,0.000,0.000
4,256,384.233,416.579,85.962,270987264,23.17,97.600,200.672,1,596.118,0.820,0,0.00,4000.0,6007.5,971.4,5035.6,231.6,1511.5,152.8,9908.4,0.641,1,0.000,0.006,199.456,0.000,0.000
5,256,790.907,2576.030,127.781,298242048,28.15,642.857,20.268,1,732.441,0.820,0,0.00,4000.0,5997.0,961.8,5034.7,241.4,1575.4,251.4,9990.4,0.420,1,0.000,0.009,18.028,0.000,0.000
6,256,332.820,683.010,97.463,266244096,32.33,215.084,20.274,1,569.782,0.820,0,0.00,4000.0,5986.2,951.1,5034.7,251.9,1643.0,311.8,10005.0,0.443,1,0.000,0.009,18.532,0.000,0.000
7,256,406.561,573.855,217.264,207089664,36.25,178.347,10.951,1,477.168,0.820,0,0.00,4000.0,5986.2,951.1,5034.7,251.9,1638.7,303.2,10007.0,0.725,1,0.000,0.008,7.973,0.000,0.000
8,256,315.453,530.936,240.629,271478784,39.36,58.361,16.462,1,523.186,0.820,0,0.00,4000.0,5986.2,951.1,5034.7,251.9,1653.1,316.6,10053.8,0.455,1,0.000,0.008,14.853,0.000,0.000
9,256,488.427,796.929,398.122,340807680,41.76,74.616,15.688,1,572.600,0.820,0,0.00,4000.0,5986.2,951.1,5034.7,251.9,1650.0,306.8,10055.6,0.785,1,0.000,0.009,13.830,0.000,0.000
10,256,318.291,482.886,105.276,332709888,43.96,197.741,15.274,1,580.774,0.820,0,0.00,4000.0,5986.2,951.1,5034.7,251.9,1649.3,306.1,10055.9,1.119,1,0.000,0.009,12.053,0.000,0.000
