# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,805.180,1231.549,462.585,588681216,4.98,340.379,2.216,36911,1053.911,-1.000,0,144.18,4000.0,6015.9,995.3,5020.2,207.5,1466.3,268.3,10099.2,0.603,1,0.000,0.014,0.000,0.000,0.000
2,256,482.560,581.864,220.293,397983744,11.86,242.308,19.959,6,617.677,0.820,0,0.02,4000.0,6016.1,995.4,5020.2,207.4,1469.2,271.9,10099.3,1.907,1,0.000,0.010,16.665,0.000,0.000
3,256,510.428,942.130,373.056,456351744,17.17,120.008,17.363,1,636.281,0.820,0,0.00,4000.0,6016.2,995.5,5020.2,207.4,1470.8,272.2,10101.8,0.544,1,0.000,0.014,15.224,0.000,0.000
4,256,279.566,842.247,215.952,265654272,22.97,54.114,9.500,1,498.283,0.820,0,0.00,4000.0,6016.2,995.5,5020.2,207.4,1470.2,269.5,10102.1,0.997,1,0.000,0.010,7.797,0.000,0.000
5,256,306.570,418.425,0.000,292909056,27.84,58.077,293.856,1,491.728,0.820,0,0.00,4000.0,6016.2,995.5,5020.2,207.4,1471.5,272.9,10101.6,0.689,1,0.000,0.008,11.232,0.000,0.000
6,256,285.728,844.469,81.437,271773696,32.05,187.670,16.621,1,509.986,0.820,0,0.00,4000.0,6016.2,995.5,5020.2,207.4,1472.1,278.1,10101.1,0.919,1,0.000,0.008,15.145,0.000,0.000
7,256,240.492,583.078,189.405,204423168,36.00,41.345,9.742,1,471.476,0.820,0,0.00,4000.0,6016.2,995.5,5020.2,207.4,1471.6,277.6,10101.4,0.539,1,0.000,0.011,7.303,0.000,0.000
8,256,433.435,656.866,237.918,271478784,39.15,52.162,143.354,1,536.818,0.820,0,0.00,4000.0,6016.3,995.7,5020.2,207.4,1471.8,277.1,10099.6,0.534,1,0.000,0.009,141.582,0.000,0.000
9,256,302.699,930.708,107.028,343474176,41.59,178.416,17.254,1,563.478,0.820,0,0.00,4000.0,6016.4,995.8,5020.2,207.4,1471.5,276.8,10099.9,0.580,1,0.000,0.011,15.459,0.000,0.000
10,256,453.994,1012.776,363.653,330043392,43.76,71.735,18.605,1,564.280,0.820,0,0.00,4000.0,6016.3,995.7,5020.2,207.4,1470.8,276.0,10100.4,0.926,1,0.000,0.012,15.149,0.000,0.000
11,256,284.115,477.281,101.471,236322816,46.11,48.256,134.388,1,522.509,0.820,0,0.00,4000.0,6016.4,995.8,5020.2,207.4,1470.8,276.0,10100.4,0.433,1,0.000,0.009,132.690,0.000,0.000
12,256,502.248,1025.332,391.715,367665728,47.65,88.039,22.494,1,597.107,0.820,0,0.00,4000.0,6016.3,995.7,5020.2,207.4,1470.3,269.8,10100.7,0.830,1,0.000,0.010,20.679,0.000,0.000
13,256,272.439,824.531,204.990,259928064,49.55,47.575,19.874,16,496.543,0.820,0,0.06,4000.0,6016.4,995.8,5020.2,207.2,1473.0,272.5,10100.9,0.687,1,0.000,0.008,17.428,0.000,0.000
14,256,536.850,1848.395,95.858,506425344,50.17,414.178,26.815,1,604.628,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1483.5,273.8,10102.9,0.886,1,0.000,0.011,24.986,0.000,0.000
15,256,307.321,785.659,208.789,314241024,51.59,73.149,25.382,1,585.577,0.820,0,0.00,4000.0,6016.3,995.8,5020.1,207.2,1480.4,270.9,10102.9,0.753,1,0.000,0.009,22.072,0.000,0.000
16,256,222.852,337.927,173.741,233754624,53.19,39.926,9.186,1,471.802,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1480.9,271.5,10102.9,1.002,1,0.000,0.008,7.709,0.000,0.000
17,256,312.197,975.517,236.434,313745984,54.38,60.409,15.355,2,532.497,0.820,0,0.01,4000.0,6016.4,995.9,5020.1,207.2,1480.2,270.3,10103.1,0.646,1,0.000,0.008,13.759,0.000,0.000
18,256,491.809,1493.429,253.871,397787136,55.08,217.388,20.549,0,609.743,0.820,0,0.00,4000.0,6016.3,995.8,5020.1,207.2,1479.9,270.5,10106.1,0.914,1,0.000,0.011,17.783,0.000,0.000
19,256,265.174,820.188,83.837,220225536,56.38,167.500,13.837,3,447.710,0.820,0,0.01,4000.0,6016.4,995.9,5020.1,207.2,1479.8,271.0,10106.1,0.878,1,0.000,0.007,12.386,0.000,0.000
20,256,256.350,756.620,194.901,267927552,57.44,50.851,10.598,1,502.209,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1479.0,270.6,10106.1,0.452,1,0.000,0.010,8.759,0.000,0.000
21,256,399.796,307.861,353.641,225361920,58.55,35.681,10.474,1,503.128,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1479.0,270.6,10106.1,0.503,1,0.000,0.008,7.542,0.000,0.000
22,256,320.862,676.684,103.746,261206016,59.46,52.272,164.844,0,524.576,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1478.5,270.0,10106.1,0.902,1,0.000,0.010,162.919,0.000,0.000
23,256,247.644,238.493,212.114,168775680,60.55,27.404,8.126,1,417.128,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.2,1480.2,271.9,10106.4,0.568,1,0.000,0.008,5.847,0.000,0.000
24,256,240.839,726.955,77.623,137170944,61.65,156.277,6.939,1,372.153,0.820,0,0.00,4000.0,6016.6,996.0,5020.1,207.2,1478.7,270.4,10106.4,0.415,1,0.000,0.006,5.884,0.000,0.000
25,256,116.798,198.745,86.811,147345408,62.65,21.436,8.550,4,361.719,0.820,0,0.02,4000.0,6016.6,996.0,5020.1,207.2,1477.3,269.6,10105.9,0.528,1,0.000,0.005,7.448,0.000,0.000
26,256,145.144,298.933,84.155,212520960,63.45,45.964,15.025,0,448.963,0.820,0,0.00,4000.0,6016.7,996.2,5020.1,207.2,1478.3,270.6,10105.9,0.376,1,0.000,0.006,12.979,0.000,0.000
27,256,194.053,508.405,166.440,129466368,64.34,21.937,5.676,2,378.391,0.820,0,0.01,4000.0,6016.6,996.0,5020.1,207.1,1478.4,270.6,10105.9,0.449,1,0.000,0.005,4.406,0.000,0.000
28,256,262.886,526.823,96.283,182403072,65.13,31.640,134.963,1,442.968,0.820,0,0.00,4000.0,6016.4,995.9,5020.1,207.1,1471.3,263.5,10105.9,0.434,1,0.000,0.007,133.593,0.000,0.000
29,256,107.167,180.584,71.286,131346432,65.93,30.261,5.620,0,368.965,0.820,0,0.00,4000.0,6016.3,995.8,5020.1,207.1,1477.9,272.3,10105.1,0.944,1,0.000,0.005,3.888,0.000,0.000
30,256,213.087,163.047,188.749,116133888,66.69,20.354,3.985,2,388.039,0.820,0,0.01,4000.0,6016.3,995.8,5020.1,207.1,1477.2,271.6,10105.1,0.392,1,0.000,0.007,2.653,0.000,0.000
31,256,219.093,515.162,200.979,117817344,67.47,12.941,5.172,1,376.438,0.820,0,0.00,4000.0,6016.6,996.0,5020.1,207.1,1476.3,270.7,10105.2,0.403,1,0.000,0.006,3.005,0.000,0.000
