# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,460.389,744.772,123.513,588681216,4.98,276.876,60.000,18475,1541.208,-1.000,0,72.17,4000.0,5792.2,4959.3,832.5,237.5,2138.8,274.9,9978.1,0.276,1,0.000,0.005,0.000,0.000,0.000
2,64,256.537,487.987,76.019,387317760,11.13,118.377,62.141,10,916.548,0.824,0,0.04,4000.0,5792.9,4960.0,832.5,237.5,2129.8,263.5,9972.8,2.141,1,0.000,0.006,3.296,0.000,0.000
3,64,287.458,570.872,83.098,448352256,15.55,129.710,74.650,11,1000.982,0.824,0,0.04,4000.0,5793.4,4960.5,832.5,237.5,2134.4,267.0,9966.3,0.382,1,0.000,0.007,1.802,0.000,0.000
4,64,187.013,303.259,87.609,236027904,20.93,59.655,39.749,2,676.456,0.824,0,0.01,4000.0,5792.0,4959.1,832.5,237.5,2135.8,266.2,9965.8,0.504,1,0.000,0.007,1.572,0.000,0.000
5,64,233.260,343.399,80.109,266047488,25.30,104.115,49.036,2,808.413,0.824,0,0.01,4000.0,5790.6,4958.8,831.5,237.5,2151.0,277.2,9958.4,0.443,1,0.000,0.007,9.723,0.000,0.000
6,64,210.084,333.562,79.718,258244608,29.27,83.591,46.775,3,738.837,0.824,0,0.01,4000.0,5792.3,4961.0,830.9,237.5,2142.2,269.5,9952.4,0.372,1,0.000,0.006,15.360,0.000,0.000
7,64,156.436,235.786,86.360,180129792,33.11,38.161,31.915,1,574.601,0.824,0,0.00,4000.0,5790.8,4959.7,830.6,237.5,2143.5,267.2,9952.4,0.526,1,0.000,0.006,2.937,0.000,0.000
8,64,177.998,311.396,86.128,252518400,36.00,48.662,43.208,1,652.373,0.824,0,0.00,4000.0,5791.3,4961.4,829.5,237.5,2142.2,262.4,9951.4,0.473,1,0.000,0.007,2.573,0.000,0.000
9,64,208.464,392.432,92.057,313749504,38.15,57.382,59.025,0,771.269,0.824,0,0.00,4000.0,5788.1,4958.2,829.5,237.5,2147.6,262.8,9950.9,0.387,1,0.000,0.008,4.462,0.000,0.000
10,64,224.297,387.540,92.883,306044928,40.05,81.768,49.646,0,816.125,0.824,0,0.00,4000.0,5789.0,4960.0,828.6,237.6,2157.5,272.6,9948.4,0.556,1,0.000,0.007,0.000,0.000,0.000
11,64,180.540,274.462,82.682,206991360,42.35,64.179,33.680,1,642.467,0.824,0,0.00,4000.0,5788.5,4960.2,827.9,238.6,2159.0,258.5,9944.7,0.573,1,0.000,0.005,2.607,0.000,0.000
12,64,251.697,459.402,77.875,359567936,43.59,127.233,46.589,2,885.967,0.824,0,0.01,4000.0,5783.8,4957.2,826.1,238.6,2157.3,261.9,9937.7,0.415,1,0.000,0.006,3.003,0.000,0.000
13,64,206.116,291.124,75.054,227635200,45.40,94.580,36.482,0,724.026,0.824,0,0.00,4000.0,5787.2,4961.3,825.5,238.6,2160.0,266.5,9932.2,0.664,1,0.000,0.006,8.396,0.000,0.000
14,64,276.696,614.420,91.252,505835520,45.66,91.105,94.339,0,1020.048,0.824,0,0.00,4000.0,5783.8,4957.9,825.5,238.6,2152.9,247.0,9942.3,0.392,1,0.000,0.008,0.000,0.000,0.000
15,64,276.803,538.266,86.613,397393920,46.42,132.594,57.596,0,889.616,0.824,0,0.00,4000.0,5784.6,4959.2,825.0,238.6,2151.1,232.5,9943.1,0.366,1,0.000,0.007,4.399,0.000,0.000
16,64,282.151,301.834,72.329,228028416,47.84,179.510,30.313,0,913.438,0.824,0,0.00,4000.0,5780.7,4957.1,823.2,238.7,2170.6,281.2,9935.1,0.411,1,0.000,0.005,6.093,0.000,0.000
17,64,300.618,596.173,92.456,473735744,48.11,119.395,88.766,2,1084.473,0.824,0,0.01,4000.0,5780.8,4957.2,823.2,238.7,2161.3,266.2,9933.1,0.377,1,0.000,0.008,0.437,0.000,0.000
18,64,218.828,424.099,95.133,330436608,48.91,59.030,64.665,0,821.417,0.824,0,0.00,4000.0,5782.0,4958.4,823.2,238.7,2160.6,255.0,9933.9,0.743,1,0.000,0.008,0.730,0.000,0.000
19,64,177.948,302.685,88.935,236322816,50.08,43.996,45.018,0,658.963,0.824,0,0.00,4000.0,5782.1,4958.5,823.2,238.7,2157.8,243.1,9935.7,0.463,1,0.000,0.007,4.213,0.000,0.000
