# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=4000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=4000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,419.541,829.625,147.971,588681216,4.98,270.022,1.548,29301,1114.721,-1.000,0,114.46,4000.0,6214.3,996.5,5217.4,206.3,1551.4,293.4,9966.9,0.333,1,0.000,0.006,0.000,0.000,0.000
2,64,249.299,587.309,66.695,400748544,12.15,165.329,17.276,2,708.297,0.820,0,0.01,4000.0,6214.4,996.6,5217.4,206.3,1563.3,308.7,9950.7,4.069,1,0.000,0.005,15.643,0.000,0.000
3,64,233.954,649.856,103.655,456351744,17.46,108.997,21.301,1,606.177,0.820,0,0.00,4000.0,6214.3,996.5,5217.4,206.3,1561.6,280.9,9950.7,0.408,1,0.000,0.009,19.523,0.000,0.000
4,64,165.287,376.347,98.888,262987776,23.20,55.495,10.904,1,491.163,0.820,0,0.00,4000.0,6214.4,996.6,5217.4,206.3,1560.7,273.1,9951.0,0.907,1,0.000,0.008,9.304,0.000,0.000
5,64,164.851,415.915,91.673,292909056,28.02,58.687,14.491,1,474.817,0.820,0,0.00,4000.0,6214.5,996.8,5217.4,206.3,1548.8,250.0,9961.2,0.603,1,0.000,0.006,11.890,0.000,0.000
6,64,165.608,388.487,99.454,274440192,32.20,54.117,12.036,0,492.454,0.820,0,0.00,4000.0,6214.5,996.8,5217.4,206.3,1547.1,238.3,9961.4,0.815,1,0.000,0.007,10.410,0.000,0.000
7,64,156.876,312.320,94.012,201756672,36.14,49.125,13.739,1,481.166,0.820,0,0.00,4000.0,6212.2,996.8,5215.0,206.3,1544.6,190.9,9967.2,0.713,1,0.000,0.007,11.746,0.000,0.000
8,64,199.513,410.732,67.943,274145280,39.35,114.136,17.434,1,590.952,0.820,0,0.00,4000.0,6194.7,996.9,5197.4,206.3,1556.0,198.5,9956.3,0.392,1,0.000,0.004,16.316,0.000,0.000
9,64,232.898,489.183,71.569,338239488,41.77,138.092,23.237,0,696.003,0.820,0,0.00,4000.0,6182.0,996.8,5184.9,206.3,1562.1,209.3,9947.1,0.445,1,0.000,0.005,22.030,0.000,0.000
10,64,221.683,472.862,67.447,330043392,44.07,136.045,18.191,0,658.110,0.820,0,0.00,4000.0,6147.4,988.8,5158.2,214.3,1580.6,272.3,9926.9,0.396,1,0.000,0.004,16.381,0.000,0.000
11,64,181.730,358.091,70.746,247185408,46.45,96.324,14.660,1,562.504,0.820,0,0.00,4000.0,6147.4,988.9,5158.1,214.3,1589.0,281.6,9914.9,0.409,1,0.000,0.004,13.609,0.000,0.000
12,64,246.643,535.733,69.072,370233920,48.12,149.413,28.158,13,733.639,0.820,0,0.05,4000.0,6147.3,988.8,5158.1,214.3,1599.7,293.6,9900.4,0.423,1,0.000,0.005,26.986,0.000,0.000
13,64,172.673,369.847,83.446,259928064,50.00,69.050,20.178,0,531.436,0.820,0,0.00,4000.0,6147.4,988.9,5158.1,214.3,1602.8,294.6,9896.1,0.471,1,0.000,0.006,18.382,0.000,0.000
14,64,253.688,728.669,102.418,514424832,50.55,125.961,25.309,0,633.515,0.820,0,0.00,4000.0,6147.4,988.9,5158.1,214.3,1600.4,270.7,9897.4,0.780,1,0.000,0.009,23.483,0.000,0.000
15,64,180.808,442.067,100.822,314339328,51.95,63.190,16.796,0,526.049,0.820,0,0.00,4000.0,6147.4,988.9,5158.1,214.3,1595.9,259.4,9900.6,0.597,1,0.000,0.009,13.756,0.000,0.000
16,64,146.138,332.555,92.017,233754624,53.53,44.567,9.554,0,472.931,0.820,0,0.00,4000.0,6147.4,988.9,5158.1,214.3,1582.5,227.2,9907.6,0.948,1,0.000,0.006,8.252,0.000,0.000
17,64,179.898,421.376,101.563,300216896,54.78,56.722,21.613,2,534.763,0.820,0,0.01,4000.0,6142.0,984.2,5157.4,218.9,1582.4,201.7,9909.9,0.797,1,0.000,0.007,19.812,0.000,0.000
18,64,306.391,618.485,106.195,408453120,55.62,179.555,20.642,0,855.778,0.820,0,0.00,4000.0,6046.4,924.7,5121.2,278.3,1627.1,246.9,9861.8,0.415,1,0.000,0.006,18.914,0.000,0.000
19,64,186.256,321.555,73.447,228225024,56.90,86.852,25.957,0,583.408,0.820,0,0.00,4000.0,6033.6,912.0,5121.2,290.9,1647.9,281.4,9840.8,0.391,1,0.000,0.005,24.839,0.000,0.000
20,64,166.863,361.815,74.721,257359872,57.98,78.463,13.679,0,519.305,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1651.4,284.8,9834.8,0.429,1,0.000,0.005,12.594,0.000,0.000
21,64,143.015,316.316,92.434,230891520,59.06,38.325,12.256,1,462.265,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1652.2,281.1,9835.3,0.510,1,0.000,0.006,9.826,0.000,0.000
22,64,155.307,348.109,95.733,237305856,60.01,47.907,11.667,0,480.906,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1646.6,244.8,9839.9,0.717,1,0.000,0.007,10.073,0.000,0.000
23,64,116.293,232.446,79.556,168775680,61.09,28.046,8.692,3,386.804,0.820,0,0.01,4000.0,6033.8,912.1,5121.2,290.9,1647.5,237.1,9841.0,0.401,1,0.000,0.005,6.942,0.000,0.000
24,64,95.104,173.882,71.776,126308352,62.20,15.636,7.692,1,343.589,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1649.0,232.3,9841.0,0.366,1,0.000,0.004,6.797,0.000,0.000
25,64,103.559,200.420,75.896,150011904,63.18,21.741,5.923,0,359.484,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1649.8,230.6,9841.0,0.459,1,0.000,0.004,4.767,0.000,0.000
26,64,143.391,317.134,93.710,220520448,63.95,40.387,9.294,0,457.289,0.820,0,0.00,4000.0,6033.9,912.2,5121.2,290.9,1648.1,209.6,9843.0,0.361,1,0.000,0.007,6.763,0.000,0.000
27,64,104.652,171.757,78.592,124035072,64.85,19.184,6.876,0,365.301,0.820,0,0.00,4000.0,6034.0,912.4,5121.2,290.9,1648.1,208.6,9843.0,0.507,1,0.000,0.004,5.794,0.000,0.000
28,64,122.487,264.313,88.159,182501376,65.62,30.636,3.692,0,410.535,0.820,0,0.00,4000.0,6034.0,912.4,5121.2,290.9,1649.2,207.6,9843.2,0.394,1,0.000,0.005,2.560,0.000,0.000
29,64,105.667,181.322,79.697,128679936,66.42,20.085,5.885,0,367.031,0.820,0,0.00,4000.0,6033.9,912.2,5121.2,290.9,1648.4,203.3,9843.2,0.653,1,0.000,0.005,3.668,0.000,0.000
30,64,101.928,161.650,78.400,118800384,67.17,20.563,2.964,0,349.762,0.820,0,0.00,4000.0,6033.8,912.1,5121.2,290.9,1647.8,201.8,9843.2,0.375,1,0.000,0.005,1.843,0.000,0.000
31,64,98.868,159.635,78.757,115150848,67.94,14.329,5.783,0,358.840,0.820,0,0.00,4000.0,6031.1,911.4,5119.4,291.9,1651.5,204.1,9842.2,0.361,1,0.000,0.003,4.300,0.000,0.000
32,64,110.130,120.035,70.556,86016000,68.69,33.921,5.653,1,394.230,0.820,0,0.00,4000.0,6019.6,907.9,5111.4,295.1,1660.4,222.6,9832.9,0.371,1,0.000,0.004,4.676,0.000,0.000
33,64,271.342,606.643,71.255,409645056,68.86,169.403,30.683,0,777.736,0.820,0,0.00,4000.0,6009.8,908.0,5101.4,295.1,1669.9,216.5,9820.7,0.432,1,0.000,0.005,29.410,0.000,0.000
34,64,256.710,474.699,73.397,327376896,69.21,178.749,4.564,2,757.606,0.820,0,0.01,4000.0,5963.4,880.7,5082.2,322.3,1709.7,272.4,9780.6,0.391,1,0.000,0.004,2.943,0.000,0.000
35,64,264.577,644.396,95.605,462876672,69.20,151.094,17.878,1,723.898,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1712.4,281.3,9779.4,0.405,1,0.000,0.007,16.344,0.000,0.000
36,64,127.894,271.025,90.631,199090176,69.71,29.320,7.942,0,433.781,0.820,0,0.00,4000.0,5961.5,879.5,5081.6,323.4,1712.4,279.4,9779.8,0.556,1,0.000,0.007,6.544,0.000,0.000
37,64,101.766,167.472,76.433,123740160,70.28,19.218,6.115,1,364.297,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1712.2,279.2,9779.8,0.376,1,0.000,0.005,4.238,0.000,0.000
38,64,127.757,263.361,86.255,193757184,70.73,34.025,7.477,1,413.103,0.820,0,0.00,4000.0,5961.5,879.5,5081.6,323.4,1711.7,278.7,9779.8,0.389,1,0.000,0.005,6.235,0.000,0.000
39,64,110.693,200.933,79.162,145072128,71.23,23.001,8.530,1,371.667,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1711.6,276.5,9780.8,0.443,1,0.000,0.004,6.816,0.000,0.000
40,64,161.836,388.224,100.187,276615168,71.52,48.272,13.377,0,505.019,0.820,0,0.00,4000.0,5961.5,879.5,5081.6,323.4,1711.3,276.2,9780.8,0.624,1,0.000,0.007,11.714,0.000,0.000
41,64,111.331,204.686,80.645,152973312,71.97,23.663,7.023,1,384.979,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1710.9,275.7,9780.8,0.504,1,0.000,0.004,5.865,0.000,0.000
42,64,112.302,225.619,75.409,163934208,72.40,25.295,11.598,0,376.620,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1710.4,275.3,9780.8,0.385,1,0.000,0.004,10.031,0.000,0.000
43,64,113.280,228.154,82.956,164130816,72.81,26.550,3.774,1,390.383,0.820,0,0.00,4000.0,5961.8,879.7,5081.6,323.4,1710.1,275.0,9780.8,0.405,1,0.000,0.006,2.609,0.000,0.000
44,64,125.807,258.115,88.460,188620800,73.19,29.372,7.974,1,414.713,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1710.9,271.6,9781.1,0.410,1,0.000,0.006,6.599,0.000,0.000
45,64,96.505,151.093,71.576,113172480,73.62,17.401,7.528,2,339.153,0.820,0,0.01,4000.0,5961.5,879.5,5081.6,323.4,1702.7,261.2,9786.9,0.362,1,0.000,0.004,5.898,0.000,0.000
46,64,127.969,244.315,90.375,177561600,73.94,30.903,6.692,0,423.991,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1702.2,260.7,9786.9,0.386,1,0.000,0.006,5.320,0.000,0.000
47,64,139.991,324.443,92.626,231088128,74.23,35.627,11.738,1,457.449,0.820,0,0.00,4000.0,5961.5,879.5,5081.6,323.4,1702.2,260.7,9786.9,0.441,1,0.000,0.006,9.510,0.000,0.000
48,64,91.873,144.637,72.997,112779264,74.62,16.243,2.632,1,329.994,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1701.7,260.2,9787.1,0.451,1,0.000,0.003,1.710,0.000,0.000
49,64,104.077,165.545,79.263,118800384,74.99,16.864,7.950,0,370.945,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1700.7,258.5,9787.4,0.399,1,0.000,0.005,6.784,0.000,0.000
50,64,92.186,114.066,77.204,80977920,75.38,11.567,3.414,1,344.189,0.820,0,0.00,4000.0,5961.6,879.6,5081.6,323.4,1700.2,258.0,9787.4,0.383,1,0.000,0.005,1.805,0.000,0.000
51,64,126.851,237.931,89.647,172228608,75.65,31.772,5.431,0,420.656,0.820,0,0.00,4000.0,5961.8,879.7,5081.6,323.4,1698.4,247.6,9788.1,0.385,1,0.000,0.006,4.080,0.000,0.000
52,64,84.289,76.796,72.511,59252736,76.02,10.497,1.281,2,311.133,0.820,0,0.01,4000.0,5961.8,879.7,5081.6,323.4,1697.1,238.4,9791.4,0.358,1,0.000,0.004,0.336,0.000,0.000
53,64,139.817,103.007,102.584,72486912,76.37,22.453,14.781,1,476.542,0.820,0,0.00,4000.0,5961.9,879.8,5081.6,323.4,1671.5,211.4,9816.7,0.431,1,0.000,0.004,13.229,0.000,0.000
54,64,100.619,35.121,98.654,24391680,76.75,0.000,1.965,1,366.836,0.820,0,0.00,4000.0,5961.8,879.7,5081.6,323.4,1656.2,195.9,9829.9,0.377,1,0.000,0.004,0.901,0.000,0.000
55,64,184.596,153.519,112.697,104878080,77.07,46.002,25.898,3,605.603,0.820,0,0.01,4000.0,5912.9,848.0,5064.5,355.0,1708.9,274.7,9803.2,0.426,1,0.000,0.004,24.161,0.000,0.000
56,64,143.133,199.296,70.875,142897152,77.34,61.708,10.549,2,470.336,0.820,0,0.01,4000.0,5913.1,848.2,5064.5,355.0,1714.4,294.7,9795.0,0.419,1,0.000,0.004,9.456,0.000,0.000
57,64,101.519,155.282,82.670,113664000,77.62,17.182,1.667,1,374.862,0.820,0,0.00,4000.0,5912.9,848.0,5064.5,355.0,1713.1,293.5,9795.2,0.435,1,0.000,0.005,0.425,0.000,0.000
58,64,94.165,160.275,73.048,117817344,77.91,13.387,7.730,1,340.166,0.820,0,0.00,4000.0,5912.9,848.0,5064.5,355.0,1713.3,293.7,9795.6,0.389,1,0.000,0.003,6.142,0.000,0.000
59,64,187.960,470.387,103.370,330141696,77.95,63.200,21.390,1,556.120,0.820,0,0.00,4000.0,5912.9,848.0,5064.5,355.0,1713.3,293.4,9795.6,0.569,1,0.000,0.007,19.709,0.000,0.000
60,64,119.787,235.784,88.104,169168896,78.18,23.805,7.878,1,419.354,0.820,0,0.00,4000.0,5912.9,848.0,5064.5,355.0,1713.1,293.2,9795.6,0.783,1,0.000,0.006,6.586,0.000,0.000
61,64,130.500,276.580,86.819,208969728,78.35,33.441,10.240,0,422.801,0.820,0,0.00,4000.0,5912.9,848.0,5064.5,355.0,1712.9,292.4,9796.1,0.400,1,0.000,0.005,8.124,0.000,0.000
62,64,119.093,247.934,82.829,177266688,78.56,27.111,9.152,0,390.197,0.820,0,0.00,4000.0,5913.1,848.2,5064.5,355.0,1712.6,292.2,9796.1,0.474,1,0.000,0.005,8.065,0.000,0.000
63,64,170.704,415.440,97.472,302592000,78.62,55.553,17.679,0,519.662,0.820,0,0.00,4000.0,5913.1,848.2,5064.5,355.0,1711.9,291.4,9796.1,0.524,1,0.000,0.007,15.013,0.000,0.000
64,64,114.611,195.410,83.227,142307328,78.83,24.268,7.116,0,395.756,0.820,0,0.00,4000.0,5913.1,848.2,5064.5,355.0,1711.9,291.4,9796.1,0.504,1,0.000,0.016,5.928,0.000,0.000
# summary tokens=64 s/tok=0.156 tok/s=6.409 read_MiB=13564.8 io_s=20.11 compute_s/tok=0.086 io_s/tok=0.314 cache_hit_pct=78.8 n_prompt=34 load_s=20.845 prefill_s=6.078 prefill_tps=5.59 stall_s/tok=0.059 mgmt_s/tok=0.012 cache_resident_MiB=3997.7 cache_budget_MiB=4000.0 cache_resizes=0 spec_read_MiB=6099.8 spec_experts=2399 spec_useful=1745 majflt/tok=458.70 cpu_s/tok=0.4883 token_demand_MiB=976.5 layer_demand_MiB=21.0 experts_routed=0 experts_dropped=0 experts_reranked=0 experts_substituted=0 loop_overhead_s/tok=0.0005 mtp_drafted=0 mtp_accepted=0 mtp_decodes=64 mtp_draft_s/tok=0.0000 drafted_steps=0 ra_committed=0 ra_passthrough=0 ra_agree_pct=0.0 ra_gemv_ms/tok=0.00 ra_issue_ms/tok=0.00 ra_wd_ms/tok=0.00 drain_s/tok=0.000 adopt_s/tok=0.010 evictions=6651 rereads=4549 prefill_cpu_s=13.966 prefill_read_mib=7480.5 prefill_io_s=9.452 prefill_stall_s=2.592 prefill_mgmt_s=2.406 row_table_MiB=0.0 row_resident_MiB=0.0 row_rows=0 row_reads=0 row_read_MiB=0.0 row_evictions=0 row_io_errors=0
