# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,457.473,594.654,180.221,452689920,6.53,213.869,63.383,11824,1561.835,-1.000,0,46.19,5000.0,6300.7,5803.5,496.8,393.1,1225.9,135.8,9707.3,0.397,1,0.000,0.008,0.000,0.000,0.000
2,64,282.403,382.425,114.946,312655872,13.29,121.485,45.973,15,1046.958,0.820,0,0.06,5000.0,6297.7,5804.4,492.9,393.1,1228.6,120.5,9702.6,1.587,1,0.000,0.006,7.876,0.000,0.000
3,64,378.599,484.927,110.920,368357376,18.37,212.891,54.788,74,1276.043,0.820,0,0.29,5000.0,6270.5,5805.0,465.1,392.9,1238.4,129.3,9692.7,0.583,1,0.000,0.007,10.621,0.000,0.000
4,64,268.214,234.543,107.170,172032000,24.07,127.214,33.831,1,925.849,0.820,0,0.00,5000.0,6265.9,5803.9,461.5,392.9,1243.2,137.9,9699.1,0.588,1,0.000,0.005,13.966,0.000,0.000
5,64,266.723,304.541,85.257,244715520,28.35,140.244,41.221,2,959.027,0.820,0,0.01,5000.0,6265.0,5803.0,461.5,392.8,1249.5,146.2,9691.8,0.555,1,0.000,0.006,12.949,0.000,0.000
6,64,271.568,275.714,102.284,207581184,32.52,121.710,47.575,0,974.168,0.820,0,0.00,5000.0,6260.8,5802.9,457.5,392.8,1254.2,151.9,9686.1,5.245,1,0.000,0.006,22.673,0.000,0.000
7,64,237.900,206.562,111.042,148131840,36.37,90.655,36.202,64,815.275,0.820,0,0.25,5000.0,6258.3,5804.5,453.4,392.5,1256.0,160.3,9680.9,0.709,1,0.000,0.006,18.154,0.000,0.000
8,64,264.527,283.389,107.837,212520960,39.35,118.791,37.900,1,961.768,0.820,0,0.00,5000.0,6255.9,5806.3,449.1,392.5,1263.0,173.6,9672.9,0.517,1,0.000,0.005,13.110,0.000,0.000
9,64,263.500,305.401,99.792,239087616,41.79,120.950,42.759,0,947.912,0.820,0,0.00,5000.0,6255.1,5805.5,449.1,392.5,1269.6,181.5,9664.9,4.779,1,0.000,0.006,15.688,0.000,0.000
10,64,295.513,338.401,101.513,260714496,43.73,158.011,35.989,0,1027.201,0.820,0,0.00,5000.0,6250.1,5804.9,444.8,392.5,1275.9,196.4,9656.9,0.511,1,0.000,0.006,5.552,0.000,0.000
11,64,271.400,245.557,102.283,182992896,45.96,133.619,35.499,64,935.058,0.820,0,0.25,5000.0,6245.1,5804.2,440.4,392.3,1278.8,182.9,9652.6,0.558,1,0.000,0.007,13.901,0.000,0.000
12,64,287.469,368.048,95.974,282239552,47.43,153.028,38.467,1,1021.387,0.820,0,0.00,5000.0,6244.8,5803.9,440.4,392.3,1286.4,188.0,9645.9,0.571,1,0.000,0.006,6.425,0.000,0.000
13,64,283.394,290.345,87.974,208871424,49.17,144.068,51.352,0,967.648,0.820,0,0.00,5000.0,6241.3,5804.7,436.1,392.3,1292.6,200.7,9637.6,0.561,1,0.000,0.006,25.797,0.000,0.000
14,64,361.171,504.012,83.167,411918336,49.69,228.626,49.378,0,1281.539,0.820,0,0.00,5000.0,6237.1,5805.0,431.6,392.8,1296.6,212.4,9629.2,0.560,1,0.000,0.006,0.244,0.000,0.000
15,64,317.640,247.894,134.899,179834880,51.31,140.429,42.312,65,1063.048,0.820,0,0.25,5000.0,6235.5,5807.9,427.1,392.6,1294.9,198.9,9627.0,0.514,1,0.000,0.006,16.861,0.000,0.000
16,64,227.491,210.795,104.828,150503424,52.94,84.203,38.461,0,790.050,0.820,0,0.00,5000.0,6235.3,5807.7,427.1,392.6,1298.6,202.7,9622.7,4.714,1,0.000,0.005,21.020,0.000,0.000
17,64,257.294,210.249,96.652,160579584,54.28,135.481,25.161,2,853.322,0.820,0,0.01,5000.0,6223.0,5804.2,418.3,392.6,1303.5,220.3,9620.8,0.519,1,0.000,0.006,5.258,0.000,0.000
18,64,342.283,377.293,136.535,290340864,54.99,165.654,40.095,0,1149.851,0.820,0,0.00,5000.0,6218.1,5803.9,413.8,392.8,1291.4,187.0,9615.9,0.567,1,0.000,0.006,0.000,0.000,0.000
19,64,270.709,280.005,108.673,209166336,56.09,119.352,42.684,65,941.492,0.820,0,0.25,5000.0,6210.0,5800.3,409.3,396.4,1289.2,172.8,9610.0,0.604,1,0.000,0.006,18.193,0.000,0.000
20,64,271.367,265.546,101.273,195145728,57.08,141.741,28.353,0,918.931,0.820,0,0.00,5000.0,6200.6,5795.6,404.5,400.3,1297.2,188.9,9608.8,0.570,1,0.000,0.006,4.557,0.000,0.000
21,64,243.809,248.262,99.403,187834368,58.06,105.631,38.776,1,853.757,0.820,0,0.00,5000.0,6195.4,5790.5,404.5,406.1,1296.1,187.7,9602.5,0.521,1,0.000,0.006,10.886,0.000,0.000
22,64,206.221,143.049,108.122,101916672,59.25,67.110,30.990,0,737.020,0.820,0,0.00,5000.0,6191.3,5786.4,404.5,410.6,1295.4,188.2,9598.3,0.516,1,0.000,0.005,14.859,0.000,0.000
23,64,239.544,209.228,102.009,147443712,60.22,105.199,32.337,65,813.350,0.820,0,0.25,5000.0,6184.1,5784.0,399.6,412.8,1299.8,199.4,9592.6,5.409,1,0.000,0.005,14.385,0.000,0.000
24,64,203.091,163.215,110.130,107544576,61.31,57.510,35.451,1,701.044,0.820,0,0.00,5000.0,6183.2,5783.1,399.6,416.3,1299.9,201.2,9587.1,0.544,1,0.000,0.005,15.066,0.000,0.000
25,64,231.775,178.738,114.737,128581632,62.21,75.444,41.594,0,804.483,0.820,0,0.00,5000.0,6195.5,5800.2,394.9,397.4,1305.0,214.7,9602.4,0.590,1,0.000,0.005,22.517,0.000,0.000
26,64,259.485,221.871,111.725,163540992,62.90,122.419,25.341,0,886.368,0.820,0,0.00,5000.0,6190.0,5794.7,394.9,403.2,1307.0,220.1,9594.7,0.511,1,0.000,0.006,4.765,0.000,0.000
27,64,209.808,127.779,120.226,89075712,63.80,58.821,30.761,64,717.281,0.820,0,0.25,5000.0,6179.2,5788.2,390.5,407.6,1307.6,226.7,9591.5,0.510,1,0.000,0.005,15.612,0.000,0.000
28,64,216.070,174.568,106.320,125816832,64.56,80.974,28.775,1,747.228,0.820,0,0.00,5000.0,6183.7,5797.8,385.5,403.0,1306.0,235.8,9592.8,5.636,1,0.000,0.005,5.336,0.000,0.000
29,64,207.437,134.087,119.221,90955776,65.37,64.562,23.654,0,717.755,0.820,0,0.00,5000.0,6178.2,5792.2,385.5,408.1,1305.9,235.7,9588.5,0.561,1,0.000,0.005,11.542,0.000,0.000
30,64,203.469,111.698,130.216,75743232,66.16,47.061,26.192,1,709.669,0.820,0,0.00,5000.0,6172.3,5790.6,381.3,406.0,1311.9,251.7,9588.1,0.508,1,0.000,0.005,15.509,0.000,0.000
31,64,203.481,115.052,130.854,83251200,66.93,32.474,40.153,63,726.232,0.820,0,0.25,5000.0,6180.2,5798.4,381.3,398.0,1305.2,244.5,9608.7,0.510,1,0.000,0.005,19.227,0.000,0.000
32,64,189.965,89.167,144.061,64487424,67.69,29.408,16.496,0,662.838,0.820,0,0.00,5000.0,6179.5,5800.7,378.4,398.5,1297.8,236.2,9614.1,0.533,1,0.000,0.005,4.715,0.000,0.000
