# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=4 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,64,437.133,510.032,174.786,450023424,6.56,204.842,57.505,12881,1524.355,-1.000,0,50.32,5000.0,6409.1,5868.4,540.3,331.9,1224.9,204.6,9638.2,0.396,1,0.000,0.010,0.000,0.000,0.000
2,64,272.189,343.820,78.270,315322368,13.30,139.715,54.204,26,1035.120,0.820,0,0.10,5000.0,6405.2,5869.1,535.7,331.8,1232.7,204.3,9630.7,1.604,1,0.000,0.007,12.876,0.000,0.000
3,64,329.502,417.695,67.755,371023872,18.30,208.267,53.480,35,1231.811,0.820,0,0.14,5000.0,6400.4,5869.6,530.4,331.7,1238.5,201.0,9622.7,0.566,1,0.000,0.008,9.164,0.000,0.000
4,64,257.341,221.535,89.819,177364992,23.96,136.269,31.253,1,882.374,0.820,0,0.00,5000.0,6399.3,5868.5,530.4,331.7,1238.2,190.5,9626.1,0.582,1,0.000,0.007,9.354,0.000,0.000
5,64,299.476,292.113,73.204,244715520,28.24,175.180,51.092,1,1047.918,0.820,0,0.00,5000.0,6391.5,5867.9,523.2,331.7,1243.9,190.6,9618.3,0.565,1,0.000,0.007,16.195,0.000,0.000
6,64,265.674,266.131,102.562,215580672,32.30,122.869,40.243,1,938.553,0.820,0,0.00,5000.0,6380.3,5870.2,509.7,331.7,1230.0,123.9,9627.8,0.563,1,0.000,0.007,13.825,0.000,0.000
7,64,281.027,181.808,128.497,145465344,36.17,99.588,52.942,32,908.751,0.820,0,0.12,5000.0,6293.3,5869.3,423.7,331.5,1201.3,118.3,9649.3,0.573,1,0.000,0.007,24.892,0.000,0.000
8,64,306.158,258.124,113.848,212717568,39.19,135.123,57.187,1,1078.462,0.820,0,0.00,5000.0,6219.7,5870.8,348.5,331.5,1182.6,132.8,9657.8,4.693,1,0.000,0.007,23.452,0.000,0.000
9,64,344.009,296.400,126.847,244518912,41.70,162.369,54.793,0,1172.276,0.820,0,0.00,5000.0,6154.3,5870.1,283.8,331.5,1159.1,145.9,9677.8,5.262,1,0.000,0.007,16.917,0.000,0.000
10,64,297.856,322.274,69.377,263380992,43.65,186.671,41.808,0,1037.096,0.820,0,0.00,5000.0,6148.6,5869.5,278.8,331.5,1164.0,148.3,9671.9,0.539,1,0.000,0.006,9.943,0.000,0.000
11,64,261.027,247.047,81.558,188325888,45.92,133.968,45.502,32,902.000,0.820,0,0.12,5000.0,6140.7,5868.6,271.7,331.3,1161.7,145.1,9685.5,0.586,1,0.000,0.006,15.448,0.000,0.000
12,64,307.359,319.490,84.509,284906048,47.35,185.583,37.268,1,1106.793,0.820,0,0.00,5000.0,6131.4,5868.3,262.8,331.3,1162.6,136.0,9687.2,0.634,1,0.000,0.007,3.500,0.000,0.000
13,64,309.840,260.387,73.531,206204928,49.10,198.147,38.162,12,1031.624,0.820,0,0.05,5000.0,6123.4,5871.8,251.2,331.3,1151.9,129.8,9692.4,0.582,1,0.000,0.006,13.142,0.000,0.000
