index,gate,up,gpu,ref,flagged
0,-0x1.0221p-129,-0x1.13b364p-1,0x0p+0,0x1.15fe4p-131,0
44,0x1.71d1bp-129,0x1.a74802p+0,0x0p+0,0x1.31bcdp-129,0
80,-0x1.a44366p-122,0x1.57359p+0,-0x1.19b71cp-122,-0x1.19b71ep-122,1
89,0x1.389c3ep-108,-0x1.301512p-1,-0x1.735346p-110,-0x1.735344p-110,1
100,0x1.d21bbap-126,-0x1.5b1386p-1,-0x0p+0,-0x1.3bf79p-127,1
109,0x1.8e77f6p-109,-0x1.2b0c66p-1,-0x1.d1796cp-111,-0x1.d17968p-111,1
113,-0x1.13c05ep-119,0x1.be06dp-1,-0x1.e07076p-121,-0x1.e0707ap-121,1
127,0x1.b79abp-128,-0x1.3f8e9cp+0,-0x0p+0,-0x1.125f5p-128,0
141,-0x1.ad18dp-129,-0x1.99bf16p+0,0x0p+0,0x1.57667p-129,0
146,-0x1.9184bap-104,0x1.1e6952p-2,-0x1.c13776p-107,-0x1.c13778p-107,1
149,0x1.a170eap-112,-0x1.d8efep-2,-0x1.8197acp-114,-0x1.8197aap-114,1
159,-0x1.a0a996p-115,0x1.2c529ap-3,-0x1.e8cd2ap-119,-0x1.e8cd2cp-119,1
166,0x1.c007p-132,0x1.9c7526p-1,0x0p+0,0x1.68ecp-133,0
196,-0x1.3f2326p-126,-0x1.0809f4p+0,0x1.0809f4p-126,0x1.4928a8p-127,1
197,-0x1.742bcp-131,-0x1.6bf40cp-2,0x0p+0,0x1.088fp-133,0
208,-0x1.321d7ap-115,0x1.412aep-2,-0x1.800a38p-118,-0x1.800a3ap-118,1
252,-0x1.b714eap-126,0x1.c5bb54p+0,-0x1.c5bb54p-126,-0x1.851ca6p-126,1
257,-0x1.2e983ap-109,-0x1.0e28b8p-3,0x1.3f54acp-113,0x1.3f54aep-113,1
262,0x1.f73412p-104,-0x1.f5746cp-1,-0x1.ecd6e2p-105,-0x1.ecd6ep-105,1
274,0x1.4376e4p-127,0x1.094db8p+0,0x0p+0,0x1.4f384p-128,0
296,0x1.db69fcp-125,0x1.e50c02p-3,0x0p+0,0x1.c26308p-128,1
324,-0x1.2a9e0ap-119,0x1.0c8808p+0,-0x1.393c1ep-120,-0x1.393c2p-120,1
346,0x1.fbcb78p-124,-0x1.c0a018p-4,-0x0p+0,-0x1.bcf0dp-128,1
351,-0x1.c08172p-106,-0x1.a87fe2p-2,0x1.73db36p-108,0x1.73db38p-108,1
377,0x1.292922p-123,-0x1.902a3ep-1,-0x1.d0815p-125,-0x1.d0814ep-125,1
389,0x1.f06bc4p-127,0x1.e761eep-3,0x0p+0,0x1.d88d8p-130,0
393,0x1.b925p-132,0x1.2223f6p-1,0x0p+0,0x1.f3fap-134,0
412,0x1.3a36fp-128,0x1.2d7862p+0,0x0p+0,0x1.72066p-129,0
461,0x1.7aaf2ep-104,-0x1.a45bf6p-1,-0x1.36e7bap-105,-0x1.36e7b8p-105,1
468,0x1.a25438p-127,0x1.5a56d6p-8,0x0p+0,0x1.1af8p-135,0
473,0x1.1bbc16p-117,-0x1.bb7044p-1,-0x1.eb7aecp-119,-0x1.eb7ae8p-119,1
521,-0x1.ae54c2p-126,-0x1.170f64p+1,0x1.170f64p-125,0x1.d5183cp-126,1
527,-0x1.10ccbap-115,-0x1.5b10c8p+0,0x1.71d76p-116,0x1.71d762p-116,1
528,0x1.318062p-115,-0x1.10d986p-4,-0x1.459cp-120,-0x1.459bfep-120,1
544,-0x1.408f8p-132,-0x1.70790ap+0,0x0p+0,0x1.cd67p-133,0
552,0x1.3f761ep-123,0x1.150e1p-2,0x1.59bc5ep-126,0x1.59bc5ap-126,1
553,0x1.9bd0bap-121,0x1.1d0ce4p-1,0x1.ca8c1ep-123,0x1.ca8c1cp-123,1
564,0x1.445556p-125,-0x1.104edcp+0,-0x1.58fe96p-126,-0x1.58fe94p-126,1
568,0x1.e09dcp-130,0x1.8f163ap-2,0x0p+0,0x1.76ap-132,0
576,-0x1.ecd3p-131,-0x1.6d30ecp-1,0x0p+0,0x1.5f838p-132,0
581,0x1.6291dap-114,-0x1.acff2p+0,-0x1.29169cp-114,-0x1.29169ap-114,1
595,0x1.11fbdep-123,0x1.6022f2p+0,0x1.78dfbap-124,0x1.78dfb8p-124,1
