# bmoe_metrics v2
# engine=0.23.0
# model=Qwen3-30B-A3B-Q4_0.gguf arch=qwen3moe n_layer=48 n_expert=128 n_expert_used=8 threads=2 n_ctx=2048 n_ubatch=512 chatml=1
# moe_stream=1 cache_mb=5000 cache_auto=1 cache_floor_mb=1024 cache_ceil_mb=5000 cache_cycle_mb=977 force_cache=0 load_all=0 io_threads=4 o_direct=1 overlap=1 io_two_wave=0 prefetch=0 route_ahead=0 predict_prefetch=1 predict_log=0 predict_spec_max=2 prefetch_sync=0 dense_weights=anon drop_cold_frac=0 drop_renorm=1 drop_prefill=0 substitute_lambda=0
# temp=0 top_k=40 top_p=0.95 seed=4294967295 compute_trace_layers=0 spec=off spec_draft_max=0 mtp_p_min=0 ngram_min_match=0
step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms,majflt,cpu_ms,dense_resident_frac,turn,majflt_mib,cache_budget_mib,rss_mib,rss_anon_mib,rss_file_mib,swap_mib,mem_available_mib,mem_free_mib,swap_free_mib,loop_overhead_ms,mtp_batch,mtp_draft_ms,drain_ms,adopt_ms,ra_issue_ms,ra_wd_ms
1,256,1058.088,2072.393,307.441,452689920,6.53,658.716,91.932,1,1894.490,-1.000,0,0.00,5000.0,6859.6,5683.2,1176.1,392.4,2293.4,305.8,1630.7,0.286,1,0.000,0.058,0.000,0.000,0.000
2,256,688.130,1330.991,245.963,315322368,13.44,379.418,62.750,0,1362.389,0.820,0,0.00,5000.0,6646.1,5469.7,1176.1,399.4,2309.4,323.3,1611.7,2.567,1,0.000,0.036,12.086,0.000,0.000
3,256,817.724,1533.163,251.023,368357376,18.65,478.974,87.727,0,1593.235,0.820,0,0.00,5000.0,6915.4,5739.0,1176.1,406.1,2320.9,332.1,1578.4,0.544,1,0.000,0.045,24.412,0.000,0.000
4,256,521.312,826.865,232.818,196227072,24.56,227.118,61.376,0,1067.765,0.820,0,0.00,5000.0,6827.3,5650.9,1176.1,413.7,2329.2,340.3,1559.6,0.572,1,0.000,0.038,29.664,0.000,0.000
5,256,647.500,1051.369,242.420,252715008,29.11,337.917,67.163,0,1365.856,0.820,0,0.00,5000.0,6751.1,5574.7,1176.1,426.3,2336.4,347.1,1535.8,0.535,1,0.000,0.039,25.062,0.000,0.000
6,256,567.557,869.700,230.824,210247680,33.31,269.859,66.874,0,1166.285,0.820,0,0.00,5000.0,6778.9,5602.5,1176.1,444.6,2340.4,340.6,1513.2,0.546,1,0.000,0.036,32.315,0.000,0.000
7,256,508.342,688.411,250.354,158896128,37.21,207.734,50.254,66,1032.792,0.820,0,0.26,5000.0,6835.8,5659.4,1176.1,459.9,2343.5,342.2,1501.0,0.545,1,0.000,0.036,21.955,0.000,0.000
8,256,578.269,953.641,235.275,226050048,40.23,269.013,73.982,69,1185.815,0.820,0,0.27,5000.0,6749.8,5573.4,1176.1,476.5,2342.8,336.3,1478.3,0.507,1,0.000,0.036,36.493,0.000,0.000
9,256,625.634,1093.661,235.802,260714496,42.70,321.673,68.159,237,1243.090,0.820,0,0.93,5000.0,6651.0,5474.6,1176.1,491.5,2339.7,318.7,1465.9,0.555,1,0.000,0.037,28.122,0.000,0.000
10,256,834.213,1161.841,362.412,268713984,44.70,408.334,63.467,0,1518.927,0.820,0,0.00,5000.0,6633.5,5457.1,1176.1,527.0,2312.6,304.5,1450.0,0.575,1,0.000,0.057,8.638,0.000,0.000
