repeat,threads,buffer_mb,seconds,GBps,min_cpu_over_wall,descheduled,pinned,resident_frac
1,1,512,1.5149,12.404,0.977,0,0,1.000
1,2,512,1.5130,13.129,0.978,0,0,1.000
1,4,512,1.5204,12.094,0.888,1,0,1.000
1,6,512,1.5232,11.279,0.760,1,0,1.000
1,8,512,1.5173,11.322,0.622,1,0,1.000
2,1,512,1.5396,12.553,0.980,0,0,1.000
2,2,512,1.5251,12.673,0.969,0,0,1.000
2,4,512,1.5139,11.969,0.889,1,0,1.000
2,6,512,1.5166,11.328,0.804,1,0,1.000
2,8,512,1.5216,11.423,0.462,1,0,1.000
3,1,512,1.5774,9.870,0.921,0,0,1.000
3,2,512,1.5185,11.667,0.923,0,0,1.000
3,4,512,1.5241,11.800,0.925,0,0,1.000
3,6,512,1.5233,11.395,0.825,1,0,1.000
3,8,512,1.5381,10.472,0.395,1,0,1.000
# sink=3079701567835406448
