mode=anonymous oom_score_adj=0 MemTotal_MB=11381 SwapTotal_MB=5119
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.212,1206,258,0,7072,4100,
512,0.209,1222,514,0,6816,4100,
768,0.205,1251,770,0,6560,4100,
1024,0.206,1240,1026,0,6304,4100,
1280,0.206,1245,1282,0,6047,4100,
1536,0.210,1222,1538,0,5790,4100,
1792,0.212,1207,1794,0,5534,4100,
2048,0.212,1210,2050,0,5277,4100,
2304,0.211,1211,2306,0,5021,4100,
2560,0.211,1213,2562,0,4765,4100,
2816,0.212,1210,2818,0,4508,4100,
3072,0.213,1204,3074,0,4251,4100,
3328,0.267,958,3330,0,4005,4099,
3584,0.712,360,3586,0,3772,4079,
3840,0.558,459,3842,0,3518,4076,
4096,0.335,764,4098,0,3274,4065,
4352,0.423,605,4354,0,3030,4052,
4608,0.329,778,4610,0,2782,4043,
4864,0.584,439,4866,0,2550,4012,
5120,0.378,677,5122,0,2310,3998,
5376,0.638,401,5378,0,2079,3966,
5632,0.435,588,5634,0,1836,3946,
5888,0.341,752,5890,0,1591,3931,
6144,0.605,423,6146,0,1547,3933,
6400,0.406,630,6402,0,1307,3918,
6656,0.390,656,6658,0,1061,3904,
6912,0.561,457,6914,0,935,3901,
7168,0.512,500,7170,0,706,3875,
7424,0.371,690,7426,0,693,3901,
7680,0.423,605,7682,0,998,3903,
7936,0.294,870,7938,0,752,3896,
8192,0.704,364,8194,0,619,3936,
8448,0.570,449,8450,0,501,4038,memavailable_floor
max_VmRSS_MB=8450 chunks=33 mode=anonymous
