repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,rand,4,1,33529856,2.0003,16.76,4092.3,184.8,1190.6,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4,4,137777152,2.0005,68.87,16814.3,173.6,1379.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4,8,203583488,2.0010,101.74,24839.4,252.9,1690.3,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,64,1,223805440,2.0016,111.81,1706.1,445.4,2956.2,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,64,4,1027735552,2.0009,513.63,7837.3,439.9,1935.1,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,64,8,1451360256,2.0019,724.99,11062.5,650.0,2322.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,1,531103744,2.0017,265.33,1012.1,950.1,1594.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,4,1664352256,2.0019,831.40,3171.5,1190.6,2609.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,8,1681129472,2.0032,839.24,3201.4,2395.1,4361.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,1024,1,592445440,2.0029,295.79,282.1,3278.1,6383.5,0,0,nan,81.5,81.6,mmw-pa4-usr
1,buffered,rand,1024,4,1720713216,2.0047,858.33,818.6,4620.2,10965.7,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,1024,8,1724907520,2.0075,859.24,819.4,9382.3,15725.2,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,1,629145600,2.0099,313.02,74.6,12589.1,18827.8,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,4,1702887424,2.0149,845.14,201.5,18847.0,35101.5,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,8,1719664640,2.0212,850.83,202.9,38164.4,55277.3,0,0,nan,81.5,81.5,mmw-pa4-usr
# direct_io_supported=1
