repeat,threads,buffer_mb,seconds,GBps,min_cpu_over_wall,descheduled,pinned,resident_frac
1,1,512,1.5165,13.098,0.988,0,0,1.000
1,2,512,1.5072,13.892,0.987,0,0,1.000
1,4,512,1.5182,13.350,0.944,0,0,1.000
1,6,512,1.5246,12.853,0.895,1,0,1.000
1,8,512,1.5314,11.218,0.377,1,0,1.000
2,1,512,1.5191,11.662,0.982,0,0,1.000
2,2,512,1.5197,13.601,0.978,0,0,1.000
2,4,512,1.5161,13.367,0.942,0,0,1.000
2,6,512,1.5259,12.959,0.931,0,0,1.000
2,8,512,1.5182,12.510,0.832,1,0,1.000
3,1,512,1.5328,13.310,0.989,0,0,1.000
3,2,512,1.5271,12.656,0.944,0,0,1.000
3,4,512,1.5275,11.072,0.741,1,0,1.000
3,6,512,1.5178,11.791,0.789,1,0,1.000
3,8,512,1.5286,11.766,0.560,1,0,1.000
# sink=15809453821745706832
