mode=anonymous oom_score_adj=0 MemTotal_MB=11381 SwapTotal_MB=5119
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.149,1719,258,0,7475,4145,
512,0.141,1810,514,0,7218,4145,
768,0.147,1739,770,0,6962,4145,
1024,0.144,1779,1026,0,6705,4145,
1280,0.143,1794,1282,0,6448,4145,
1536,0.142,1802,1538,0,6192,4145,
1792,0.141,1811,1794,0,5935,4145,
2048,0.142,1803,2050,0,5674,4145,
2304,0.141,1812,2306,0,5417,4145,
2560,0.141,1815,2562,0,5160,4145,
2816,0.141,1811,2818,0,4904,4145,
3072,0.140,1826,3074,0,4647,4145,
3328,0.142,1805,3330,0,4390,4145,
3584,0.142,1806,3586,0,4134,4145,
3840,0.142,1808,3842,0,3877,4145,
4096,0.143,1791,4098,0,3621,4145,
4352,0.321,799,4354,0,3377,4141,
4608,0.307,835,4610,0,3132,4129,
4864,0.260,986,4866,0,2893,4115,
5120,0.319,802,5122,0,2651,4096,
5376,0.330,775,5378,0,2403,4084,
5632,0.349,734,5634,0,2159,4069,
5888,0.360,711,5890,0,1918,4046,
6144,0.389,658,6146,0,1686,4015,
6400,0.322,795,6402,0,1461,4001,
6656,0.698,367,6658,0,1494,4009,
6912,0.440,582,6914,0,1392,4018,
7168,0.532,482,7170,0,1358,4021,
7424,0.431,594,7426,0,1233,4045,
7680,0.366,700,7682,0,1003,4030,
7936,0.285,897,7938,0,763,4010,
8192,0.322,795,8194,0,560,4037,memavailable_floor
max_VmRSS_MB=8194 chunks=32 mode=anonymous
