repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,rand,4,1,22110208,1.5086,14.66,3578.1,214.1,1575.7,0,0,nan,81.6,81.5,mmw-pa4-usr
1,buffered,rand,4,4,132845568,1.5005,88.53,21614.6,156.0,489.9,0,0,nan,81.5,81.6,mmw-pa4-usr
1,buffered,rand,4,8,195452928,1.5010,130.22,31790.9,229.5,493.9,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,64,1,191561728,1.5017,127.56,1946.5,446.0,1203.4,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,64,4,962134016,1.5016,640.73,9776.7,382.5,770.1,0,0,nan,81.6,81.5,mmw-pa4-usr
1,buffered,rand,64,8,1190133760,1.5020,792.36,12090.4,598.4,1937.8,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,1,410255360,1.5019,273.17,1042.0,899.5,1924.2,0,0,nan,81.5,81.6,mmw-pa4-usr
1,buffered,rand,256,4,1303379968,1.5019,867.80,3310.4,1086.0,3768.9,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,256,8,1415053312,1.5025,941.80,3592.7,2146.6,7100.1,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,1024,1,476053504,1.5019,316.97,302.3,3028.1,6365.1,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,1024,4,1466957824,1.5042,975.21,930.0,4232.6,6217.7,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,1024,8,1436549120,1.5083,952.43,908.3,8425.8,27372.1,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,4096,1,465567744,1.5010,310.16,73.9,12599.5,27748.8,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,4,1409286144,1.5143,930.64,221.9,17170.0,35736.0,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,8,1505755136,1.5337,981.79,234.1,33685.6,45716.5,0,0,nan,81.6,81.6,mmw-pa4-usr
2,buffered,rand,4,1,17301504,1.5014,11.52,2813.4,336.5,823.4,0,0,nan,81.6,81.5,mmw-pa4-usr
2,buffered,rand,4,4,137940992,1.5006,91.92,22442.0,162.0,371.1,0,0,nan,81.6,81.5,mmw-pa4-usr
2,buffered,rand,4,8,191746048,1.5018,127.67,31170.3,235.4,576.4,0,0,nan,81.6,81.6,mmw-pa4-usr
2,buffered,rand,64,1,202964992,1.5016,135.17,2062.5,440.1,973.9,0,0,nan,81.5,81.6,mmw-pa4-usr
2,buffered,rand,64,4,801701888,1.5017,533.86,8146.0,397.5,2414.2,0,0,nan,81.6,81.6,mmw-pa4-usr
2,buffered,rand,64,8,1274019840,1.5018,848.31,12944.1,599.3,1005.2,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,256,1,374603776,1.5013,249.51,951.8,937.1,2351.8,0,0,nan,81.6,81.5,mmw-pa4-usr
2,buffered,rand,256,4,1400635392,1.5016,932.74,3558.1,1097.0,1702.9,0,0,nan,81.6,81.5,mmw-pa4-usr
2,buffered,rand,256,8,1371799552,1.5024,913.04,3483.0,2206.9,7257.6,0,0,nan,81.6,81.5,mmw-pa4-usr
2,buffered,rand,1024,1,210763776,1.5066,139.90,133.4,7368.6,10658.6,0,0,nan,81.5,81.6,mmw-pa4-usr
2,buffered,rand,1024,4,1247805440,1.5052,829.01,790.6,4318.5,18379.3,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,1024,8,1421869056,1.5077,943.07,899.4,8564.6,25938.4,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,4096,1,444596224,1.5068,295.07,70.3,12893.6,21882.8,0,0,nan,81.6,81.6,mmw-pa4-usr
2,buffered,rand,4096,4,1417674752,1.5169,934.57,222.8,17249.7,59240.2,0,0,nan,81.6,81.6,mmw-pa4-usr
2,buffered,rand,4096,8,1476395008,1.5283,966.06,230.3,34407.7,41592.9,0,0,nan,81.5,81.5,mmw-pa4-usr
3,buffered,rand,4,1,16957440,1.5013,11.29,2757.6,314.2,984.9,0,0,nan,81.5,81.6,mmw-pa4-usr
3,buffered,rand,4,4,104468480,1.5005,69.62,16997.6,169.9,1348.4,0,0,nan,81.6,81.5,mmw-pa4-usr
3,buffered,rand,4,8,195932160,1.5013,130.51,31863.1,233.9,543.6,0,0,nan,81.5,81.6,mmw-pa4-usr
3,buffered,rand,64,1,185008128,1.5014,123.22,1880.2,469.2,1116.4,0,0,nan,81.6,81.5,mmw-pa4-usr
3,buffered,rand,64,4,881983488,1.5021,587.17,8959.5,409.1,940.9,0,0,nan,81.6,81.5,mmw-pa4-usr
3,buffered,rand,64,8,1220214784,1.5014,812.71,12401.0,617.0,1098.0,0,0,nan,81.5,81.6,mmw-pa4-usr
3,buffered,rand,256,1,386400256,1.5016,257.33,981.6,966.9,2058.9,0,0,nan,81.6,81.6,mmw-pa4-usr
3,buffered,rand,256,4,1230766080,1.5016,819.64,3126.7,1136.3,4163.9,0,0,nan,81.6,81.6,mmw-pa4-usr
3,buffered,rand,256,8,1376780288,1.5028,916.17,3494.9,2240.7,3791.1,0,0,nan,81.5,81.5,mmw-pa4-usr
3,buffered,rand,1024,1,434110464,1.5034,288.75,275.4,3133.3,7017.0,0,0,nan,81.6,81.5,mmw-pa4-usr
3,buffered,rand,1024,4,1436549120,1.5043,954.95,910.7,4332.5,5838.2,0,0,nan,81.6,81.6,mmw-pa4-usr
3,buffered,rand,1024,8,1400897536,1.5092,928.26,885.3,8642.9,26670.4,0,0,nan,81.5,81.6,mmw-pa4-usr
3,buffered,rand,4096,1,448790528,1.5080,297.61,71.0,12923.7,20249.3,0,0,nan,81.6,81.6,mmw-pa4-usr
3,buffered,rand,4096,4,1287651328,1.5141,850.47,202.8,17651.9,62099.6,0,0,nan,81.6,81.5,mmw-pa4-usr
3,buffered,rand,4096,8,1409286144,1.5171,928.95,221.5,35203.9,62154.3,0,0,nan,81.5,81.5,mmw-pa4-usr
# direct_io_supported=1
