repeat,threads,buffer_mb,seconds,GBps,min_cpu_over_wall,descheduled,pinned,resident_frac
1,1,512,1.6462,7.501,0.608,1,0,1.000
1,2,512,1.5128,6.920,0.540,1,0,1.000
1,4,512,1.5270,12.657,0.935,0,0,1.000
1,6,512,1.5211,13.059,0.941,0,0,1.000
1,8,512,1.5251,12.013,0.569,1,0,1.000
2,1,512,1.5319,13.317,0.989,0,0,1.000
2,2,512,1.5283,13.348,0.978,0,0,1.000
2,4,512,1.5316,13.232,0.957,0,0,1.000
2,6,512,1.5346,9.504,0.658,1,0,1.000
2,8,512,1.5208,5.604,0.288,1,0,1.000
3,1,512,1.6515,5.526,0.462,1,0,1.000
3,2,512,1.5302,5.789,0.469,1,0,1.000
3,4,512,1.6161,6.146,0.483,1,0,1.000
3,6,512,1.6496,5.533,0.391,1,0,1.000
3,8,512,1.5804,6.412,0.288,1,0,1.000
# sink=13983378350018185760
