mode=anonymous oom_score_adj=0 MemTotal_MB=11381 SwapTotal_MB=5119
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.508,504,258,0,8036,4067,
512,0.350,731,514,0,7776,4070,
768,0.235,1087,770,0,7519,4071,
1024,0.249,1030,1026,0,7262,4071,
1280,0.214,1194,1282,0,7006,4071,
1536,0.231,1106,1538,0,6749,4071,
1792,0.213,1203,1794,0,6492,4071,
2048,0.212,1206,2050,0,6236,4071,
2304,0.356,720,2306,0,5980,4071,
2560,0.356,720,2562,0,5723,4071,
2816,0.246,1039,2818,0,5467,4071,
3072,0.243,1052,3074,0,5210,4071,
3328,0.217,1180,3330,0,4953,4071,
3584,0.235,1088,3586,0,4697,4071,
3840,0.216,1185,3842,0,4441,4071,
4096,0.215,1191,4098,0,4184,4071,
4352,0.375,682,4354,0,3927,4071,
4608,0.382,669,4610,0,3671,4071,
4864,0.244,1048,4866,0,3414,4071,
5120,0.240,1065,5122,0,3158,4071,
5376,0.211,1215,5378,0,2901,4071,
5632,0.229,1119,5634,0,2642,4074,
5888,0.362,707,5890,0,2398,4069,
6144,0.957,267,6146,0,2161,4056,
6400,0.972,263,6402,0,1941,4001,
6656,0.377,680,6658,0,1693,3991,
6912,0.466,550,6914,0,1518,3985,
7168,1.145,224,7170,0,1485,3952,
7424,0.543,471,7367,0,1337,3935,
7680,0.868,295,7682,0,1113,3894,
7936,0.508,504,7938,0,883,3869,
8192,0.733,349,8194,0,654,3844,
8448,0.648,395,8450,0,521,3901,memavailable_floor
max_VmRSS_MB=8450 chunks=33 mode=anonymous
