mode=anonymous oom_score_adj=0 MemTotal_MB=11381 SwapTotal_MB=5119
held_MB,chunk_s,fill_MBps,VmRSS_MB,VmSwap_MB,MemAvailable_MB,SwapFree_MB,stop_reason
256,0.316,809,258,0,8732,3939,
512,0.305,840,514,0,8465,3941,
768,0.319,803,770,0,8191,3941,
1024,0.317,808,1026,0,7913,3944,
1280,0.294,872,1282,0,7642,3945,
1536,0.289,884,1538,0,7372,3946,
1792,0.241,1064,1794,0,7109,3947,
2048,0.240,1069,2050,0,6849,3948,
2304,0.220,1162,2306,0,6592,3948,
2560,0.215,1193,2562,0,6336,3948,
2816,0.215,1191,2818,0,6080,3948,
3072,0.211,1211,3074,0,5823,3948,
3328,0.212,1207,3330,0,5567,3948,
3584,0.212,1210,3586,0,5310,3948,
3840,0.224,1144,3842,0,5046,3948,
4096,0.214,1196,4098,0,4775,3948,
4352,0.209,1226,4354,0,4511,3948,
4608,0.207,1235,4610,0,4241,3948,
4864,0.307,833,4866,0,3954,3949,
5120,0.221,1160,5122,0,3682,3949,
5376,0.229,1118,5378,0,3471,3949,
5632,0.205,1250,5634,0,3206,3949,
5888,0.209,1227,5890,0,2934,3949,
6144,0.203,1258,6146,0,2656,3949,
6400,0.200,1283,6402,0,2444,3949,
6656,0.206,1243,6658,0,1973,3949,
6912,0.222,1153,6914,0,1702,3947,
7168,0.481,532,7170,0,1611,3941,
7424,0.540,474,7426,0,1433,3927,
7680,0.464,552,7682,0,1173,3918,
7936,0.517,495,7938,0,927,3900,
8192,0.562,455,8194,0,683,3882,
8448,0.568,451,8450,0,540,3870,memavailable_floor
max_VmRSS_MB=8450 chunks=33 mode=anonymous
