repeat,mode,pattern,size_kb,threads,bytes,seconds,MBps,iops,lat_p50_us,lat_p99_us,errors,first_errno,power_w,temp_start_c,temp_end_c,temp_zone
1,buffered,rand,4,1,10489856,1.5877,6.61,1613.0,241.7,763.8,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4,4,48635904,1.5394,31.59,7713.2,174.4,701.0,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4,8,68603904,1.6357,41.94,10239.8,247.9,1363.2,0,0,nan,81.6,81.5,mmw-pa4-usr
1,buffered,rand,64,1,108134400,1.5004,72.07,1099.7,454.3,910.9,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,64,4,406126592,1.6224,250.33,3819.7,443.1,2102.1,0,0,nan,81.5,81.6,mmw-pa4-usr
1,buffered,rand,64,8,620691456,1.5020,413.23,6305.4,636.3,2511.5,0,0,nan,81.6,81.6,mmw-pa4-usr
1,buffered,rand,256,1,107741184,1.6558,65.07,248.2,1844.9,137389.2,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,4,580386816,1.5014,386.56,1474.6,1225.3,6885.2,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,256,8,581173248,1.5115,384.50,1466.8,2441.5,137899.1,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,1024,1,191889408,1.5761,121.75,116.1,3709.9,159015.4,0,0,nan,81.5,81.6,mmw-pa4-usr
1,buffered,rand,1024,4,714080256,1.5040,474.77,452.8,4427.4,153828.0,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,1024,8,1159725056,1.5542,746.19,711.6,8601.2,150769.3,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,1,192937984,1.6408,117.59,28.0,15360.2,184766.6,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,4,822083584,1.6494,498.42,118.8,17083.2,182127.9,0,0,nan,81.5,81.5,mmw-pa4-usr
1,buffered,rand,4096,8,1241513984,1.6693,743.74,177.3,34263.3,223094.5,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,4,1,9011200,1.6999,5.30,1294.2,295.2,864.0,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,4,4,46796800,1.5164,30.86,7534.5,184.6,768.0,0,0,nan,81.5,81.5,mmw-pa4-usr
2,buffered,rand,4,8,82120704,1.5009,54.72,13358.2,252.7,987.9,0,0,nan,81.6,81.5,mmw-pa4-usr
